Approved symbol	Previous symbols	Synonyms	NCBI Gene ID	Ensembl gene ID
GM2A		SAP-3	2760	ENSG00000196743
GM2AP1	GM2AP		2761	ENSG00000241695
GM2AP2			100287900	ENSG00000239428
GMCL1		FLJ13057, BTBD13, GCL1, SPATA29	64395	ENSG00000087338
GMCL1P2			100420975	ENSG00000271070
GMCL2	GMCL1L, GMCL1P1	GCL	64396	ENSG00000244234
GMDS		GMD, SDR3E1	2762	ENSG00000112699
GMDS-DT	GMDS-AS1		100508120	ENSG00000250903
GMEB1		P96PIF, PIF96	10691	ENSG00000162419
GMEB2		P79PIF, KIAA1269, PIF79	26205	ENSG00000101216
GMFA~withdrawn				
GMFB		GMF	2764	ENSG00000197045
GMFBP1			100499251	ENSG00000243495
GMFG			9535	ENSG00000130755
GMIP		ARHGAP46	51291	
GML		LY6DL	2765	ENSG00000104499
GMNC		GEMC1	647309	ENSG00000205835
GMNN		Gem	51053	ENSG00000112312
GMPPA			29926	ENSG00000144591
GMPPB		KIAA1851	29925	ENSG00000173540
GMPR			2766	ENSG00000137198
GMPR2			51292	ENSG00000100938
GMPS		GATD7	8833	ENSG00000163655
GMPSP1			728564	ENSG00000250471
GNA11	HHC2	FBH, FBH2, FHH2	2767	ENSG00000088256
GNA12		gep	2768	ENSG00000146535
GNA13		G13, MGC46138	10672	ENSG00000120063
GNA14			9630	ENSG00000156049
GNA14-AS1			101927422	ENSG00000231373
GNA15		GNA16	2769	
GNAI1			2770	ENSG00000127955
GNAI2	GNAI2B	GIP	2771	ENSG00000114353
GNAI2P1	GNAI2A, GNAI2L		2772	ENSG00000255749
GNAI2P2			401646	ENSG00000231957
GNAI3		87U6	2773	ENSG00000065135
GNAL			2774	ENSG00000141404
GNAO1		G-ALPHA-o	2775	ENSG00000087258
GNAQ		G-ALPHA-q, GAQ	2776	ENSG00000156052
GNAQP1	GNAQP		2777	ENSG00000214077
GNAS	GNAS1	NESP55, NESP, GNASXL, GPSA, SCG6, SgVI	2778	ENSG00000087460
GNAS-AS1	GNASAS, GNAS-AS	SANG, NESP-AS, NESPAS, GNAS1AS, NCRNA00075	149775	ENSG00000235590
GNAT1		CSNBAD3	2779	ENSG00000114349
GNAT2		ACHM4	2780	ENSG00000134183
GNAT3		gustducin, GDCA	346562	ENSG00000214415
GNAZ			2781	ENSG00000128266
GNB1			2782	ENSG00000078369
GNB1L		GY2, WDR14	54584	ENSG00000185838
GNB2			2783	ENSG00000172354
GNB3			2784	ENSG00000111664
GNB4			59345	ENSG00000114450
GNB5		GB5	10681	ENSG00000069966
GNE	IBM2	Uae1	10020	ENSG00000159921
GNG2			54331	ENSG00000186469
GNG3			2785	ENSG00000162188
GNG3LG~withdrawn				
GNG4			2786	ENSG00000168243
GNG5			2787	ENSG00000174021
GNG5P1	GNG5P		2789	ENSG00000213536
GNG5P2			347687	ENSG00000133136
GNG5P3			100101932	ENSG00000254949
GNG5P4			100101933	
GNG5P5			100101935	ENSG00000234590
GNG7		FLJ00058	2788	ENSG00000176533
GNG8			94235	
GNG10			2790	ENSG00000242616
GNG10P1			100526656	ENSG00000234016
GNG11		GNGT11	2791	ENSG00000127920
GNG12			55970	ENSG00000172380
GNG12-AS1			100289178	ENSG00000232284
GNG13		h2-35, G(gamma)13	51764	ENSG00000127588
GNG14			105372280	ENSG00000283980
GNGT1		GNG1	2792	ENSG00000127928
GNGT2		GNG9	2793	
GNL1		HSR1	2794	ENSG00000204590
GNL2		Ngp-1, HUMAUANTIG, Nog2, Nug2	29889	ENSG00000134697
GNL2P1			100270790	ENSG00000223893
GNL3		C77032, E2IG3, MGC800, NS	26354	ENSG00000163938
GNL3L		FLJ10613, GNL3B	54552	ENSG00000130119
GNL3LP1	GNL3LP	FLJ12595	80060	ENSG00000215032
GNLY	LAG2	NKG5, LAG-2, D2S69E, TLA519	10578	ENSG00000115523
GNMT			27232	ENSG00000124713
GNPAT		DHAPAT, DAPAT, DAP-AT	8443	ENSG00000116906
GNPATP			100130060	ENSG00000259844
GNPDA1	GNPI	GNPDA, HLN, GPI, KIAA0060	10007	ENSG00000113552
GNPDA2		SB52	132789	ENSG00000163281
GNPNAT1		Gpnat1, FLJ10607	64841	ENSG00000100522
GNPTA~withdrawn				
GNPTAB	GNPTA	KIAA1208, MGC4170	79158	ENSG00000111670
GNPTG	GNPTAG, C16orf27	CAB56184, c316G12.3	84572	ENSG00000090581
GNRH1	GRH, GNRH, LHRH		2796	ENSG00000147437
GNRH2			2797	ENSG00000125787
GNRHR	GRHR	LHRHR	2798	ENSG00000109163
GNRHR2			114814	ENSG00000211451
GNRHR2P1			404718	ENSG00000259169
GNS			2799	ENSG00000135677
GNT1~withdrawn				
GOLGA1		golgin-97, MGC33154	2800	ENSG00000136935
GOLGA2		GM130, golgin-95	2801	ENSG00000167110
GOLGA2P1			100418751	ENSG00000205333
GOLGA2P2Y	GOLGA2LY1, GOLGA2P2		84559	ENSG00000239533
GOLGA2P3Y	GOLGA2LY2, GOLGA2P3		401634	ENSG00000172297
GOLGA2P4			100873742	ENSG00000229608
GOLGA2P5	GOLGA2L1, GOLGA2B	DKFZp434M0331	55592	ENSG00000238105
GOLGA2P6			729668	ENSG00000241621
GOLGA2P7			388152	ENSG00000225151
GOLGA2P8			728477	ENSG00000214433
GOLGA2P9			440518	ENSG00000269332
GOLGA2P10		FLJ22795, AgSK1	80154	ENSG00000255769
GOLGA2P11		FLJ38723	255180	ENSG00000260062
GOLGA3		golgin-160, GCP170, MEA-2	2802	ENSG00000090615
GOLGA4		GOLG, GCP2, p230, golgin-240	2803	ENSG00000144674
GOLGA4P1			192131	
GOLGA4P2			192132	
GOLGA4P3			192130	
GOLGA5		ret-II, golgin-84, rfg5, GOLIM5	9950	ENSG00000066455
GOLGA5P1			100418736	ENSG00000251215
GOLGA6A	GOLGA6	GLP	342096	ENSG00000159289
GOLGA6B			55889	ENSG00000215186
GOLGA6C			653641	ENSG00000167195
GOLGA6D			653643	ENSG00000140478
GOLGA6L1			283767	ENSG00000273976
GOLGA6L2		CT105, FLJ36144	283685	ENSG00000174450
GOLGA6L3			100133220	ENSG00000188388
GOLGA6L4			643707	ENSG00000184206
GOLGA6L5P	GOLGA6L5	FLJ35171, FLJ40113, GOLGA6L8	374650	ENSG00000230373
GOLGA6L6		FLJ36131	727832	ENSG00000277322
GOLGA6L7	GOLGA6L7P		728310	ENSG00000261649
GOLGA6L9	GOLGA6L20		440295	ENSG00000197978
GOLGA6L10	GOLGA6L18		647042	ENSG00000278662
GOLGA6L11P	GOLGA6L15P		360024	ENSG00000223698
GOLGA6L12P			360025	
GOLGA6L13P			360026	
GOLGA6L14P			360027	
GOLGA6L15P~withdrawn				
GOLGA6L16P			100287845	ENSG00000197092
GOLGA6L17P	GOLGA6L21P		642402	ENSG00000277741
GOLGA6L18~withdrawn				
GOLGA6L19			101927601	
GOLGA6L20~withdrawn				
GOLGA6L21P~withdrawn				
GOLGA6L22			440243	ENSG00000277865
GOLGA7		GCP16, HSPC041, GOLGA3AP1, GOLGA7A	51125	ENSG00000147533
GOLGA7B	C10orf133, C10orf132	bA459F3.4, bA451M19.3	401647	ENSG00000155265
GOLGA8A		GM88, GOLGIN-67	23015	ENSG00000175265
GOLGA8B			440270	ENSG00000215252
GOLGA8CP	GOLGA8C		729786	ENSG00000181984
GOLGA8DP	GOLGA8D		100132979	ENSG00000185182
GOLGA8EP	GOLGA8E		390535	ENSG00000175676
GOLGA8F		DKFZp434P162	100132565	ENSG00000153684
GOLGA8G		DKFZp434K052	283768	ENSG00000183629
GOLGA8H		GOLGA6L11	728498	ENSG00000261794
GOLGA8IP	GOLGA9P, GOLGA8I	FLJ35785	283796	ENSG00000277561
GOLGA8J			653073	ENSG00000179938
GOLGA8K			653125	ENSG00000249931
GOLGA8M			653720	ENSG00000188626
GOLGA8N			643699	ENSG00000232653
GOLGA8O			728047	ENSG00000206127
GOLGA8Q			727909	ENSG00000178115
GOLGA8R			101059918	ENSG00000186399
GOLGA8S			653061	ENSG00000261739
GOLGA8T			653075	ENSG00000261247
GOLGA8UP			100507067	ENSG00000103832
GOLGA8VP			441736	ENSG00000259236
GOLGB1		GCP, GCP372, giantin, GOLIM1	2804	ENSG00000173230
GOLIM4	GOLPH4	GPP130, GIMPC, P138	27333	ENSG00000173905
GOLM1	GOLPH2, C9orf155	GP73, FLJ23608, bA379P1.3	51280	ENSG00000135052
GOLPH3		GPP34, GOPP1, MIDAS, Vps74	64083	ENSG00000113384
GOLPH3L		GPP34R	55204	ENSG00000143457
GOLT1A		FLJ42654, CGI-141, YMR292W, GOT1, MGC62027	127845	ENSG00000174567
GOLT1B		CGI-141, YMR292W, GOT1	51026	ENSG00000111711
GON4L	GON4	FLJ20203, GON-4, YARP	54856	ENSG00000116580
GON7	C14orf142		84520	ENSG00000170270
GOPC		dJ94G16.2, PIST, FIG, GOPC1, CAL	57120	ENSG00000047932
GORAB	SCYL1BP1	FLJ11752, NTKL-BP1, GO	92344	ENSG00000120370
GORAB-AS1			101928650	ENSG00000231407
GORASP1	GOLPH5	GRASP65, P65, FLJ23443	64689	ENSG00000114745
GORASP2		GRASP55, GRS2, GOLPH6	26003	ENSG00000115806
GOSR1		GOS28, P28, GS28, GOS-28, GOLIM2	9527	ENSG00000108587
GOSR2		GS27, Bos1	9570	ENSG00000108433
GOT1		AST1	2805	ENSG00000120053
GOT1L1		MGC33309	137362	ENSG00000169154
GOT2		mitAAT, KATIV, KAT4, KYAT4	2806	ENSG00000125166
GOT2P1	GOT2L1		645538	ENSG00000231900
GOT2P2	GOT2L2		391139	ENSG00000230849
GOT2P3	GOT2L3, GOT2L3P		644138	ENSG00000233719
GOT2P4		GOT2L4	121520	
GOT2P5		GOT2Y	100422625	ENSG00000233634
GOV~withdrawn				
GOX1~withdrawn				
GP1BA	GP1B	CD42b, GPIbalpha	2811	ENSG00000185245
GP1BB		CD42c, GPIbbeta	2812	ENSG00000203618
GP2		ZAP75	2813	ENSG00000169347
GP2B~withdrawn				
GP5		CD42d	2814	ENSG00000178732
GP6		GPVI	51206	ENSG00000088053
GP9		CD42a, GPIX	2815	ENSG00000169704
GPA33		A33	10223	ENSG00000143167
GPAA1		GAA1, hGAA1	8733	ENSG00000197858
GPAA1P1			22945	ENSG00000240069
GPAA1P2				ENSG00000230596
GPALPP1	KIAA1704	bA245H20.2, AD029, LSR7	55425	ENSG00000133114
GPAM		KIAA1560, MGC26846, GPAT1	57678	ENSG00000119927
GPANK1	BAT4	G5, D6S54E, GPATCH10, ANKRD59	7918	ENSG00000204438
GPAT2		CT123	150763	ENSG00000186281
GPAT2P1			643219	ENSG00000237510
GPAT2P2			653924	ENSG00000188383
GPAT3	AGPAT9	MGC11324, LPAAT-theta, MAG1, HMFN0839, AGPAT10	84803	ENSG00000138678
GPAT4	AGPAT6	DKFZp586M1819, LPAAT-zeta, TSARG7	137964	ENSG00000158669
GPATCH1	GPATC1	ECGP, FLJ10206, FLJ38686	55094	ENSG00000076650
GPATCH2	GPATC2	FLJ10252, CT110, PPP1R30, Pfa1	55105	ENSG00000092978
GPATCH2L	C14orf118	FLJ20689, FLJ10033	55668	ENSG00000089916
GPATCH3	GPATC3	FLJ12455	63906	ENSG00000198746
GPATCH4	GPATC4	FLJ20249, DKFZP434F1735	54865	ENSG00000160818
GPATCH8	KIAA0553, GPATC8		23131	ENSG00000186566
GPATCH11	CCDC75	FLJ38348, CENPY, CENP-Y	253635	ENSG00000152133
GPB~withdrawn				
GPBAR1		BG37, GPCR, TGR5, M-BAR, GPCR19, GPR131, MGC40597	151306	ENSG00000179921
GPBP1		DKFZp761C169, vasculin	65056	ENSG00000062194
GPBP1L1		SP192	60313	ENSG00000159592
GPC1		glypican	2817	ENSG00000063660
GPC2		cerebroglycan, FLJ38962, DKFZp547M109	221914	ENSG00000213420
GPC3	SDYS	OCI-5, SGBS, SGBS1, SGB, DGSX	2719	ENSG00000147257
GPC3-AS1			110806308	
GPC4		K-glypican	2239	ENSG00000076716
GPC5			2262	ENSG00000179399
GPC5-AS1		100873969	ENSG00000235984
GPC5-AS2				ENSG00000232885
GPC5-IT1				ENSG00000236240
GPC6			10082	ENSG00000183098
GPC6-AS1				ENSG00000236520
GPC6-AS2	100873973	ENSG00000224394
GPCPD1		KIAA1434, GDE5, GDPD6	56261	ENSG00000125772
GPD1			2819	ENSG00000167588
GPD1L		KIAA0089	23171	ENSG00000152642
GPD2			2820	ENSG00000115159
GPDS1				
GPER1	CMKRL2, GPR30, GPER	FEG-1, GPCR-Br, LERGU, LERGU2, DRY12, LyGPR, CEPR	2852	ENSG00000164850
GPHA2		GPA2, ZSIG51, A2, MGC126572	170589	ENSG00000149735
GPHB5		ZLUT1, GPB5	122876	ENSG00000179600
GPHN		KIAA1385	10243	ENSG00000171723
GPI		AMF, NLK	2821	ENSG00000105220
GPIHBP1		LOC338328, GPI-HBP1	338328	ENSG00000277494
GPKOW		T54, GPATC5, GPATCH5, Spp2	27238	ENSG00000068394
GPLD1			2822	ENSG00000112293
GPM6A	GPM6		2823	ENSG00000150625
GPM6B		M6B, MGC17150, MGC54284	2824	ENSG00000046653
GPM6BP1				ENSG00000230458
GPM6BP2				ENSG00000236429
GPM6BP3				ENSG00000234121
GPN1	XAB1	NTPBP, MBDIN, ATPBD1A, RPAP4	11321	ENSG00000198522
GPN2	ATPBD1B	FLJ10349	54707	ENSG00000142751
GPN3	ATPBD1C	MGC14560	51184	ENSG00000111231
GPN3P1			100302689	ENSG00000227465
GPNMB		NMB, HGFIN	10457	ENSG00000136235
GPR1			2825	ENSG00000183671
GPR1-AS	GPR1-AS1	GPR1AS	101669764	ENSG00000279220
GPR3		ACCA	2827	ENSG00000181773
GPR4			2828	ENSG00000177464
GPR5~withdrawn				
GPR6			2830	ENSG00000146360
GPR11~withdrawn				
GPR12		GPCR21, PPP1R84	2835	ENSG00000132975
GPR13~withdrawn				
GPR15			2838	ENSG00000154165
GPR16~withdrawn				
GPR17			2840	ENSG00000144230
GPR18			2841	ENSG00000125245
GPR19			2842	ENSG00000183150
GPR20			2843	ENSG00000204882
GPR21			2844	ENSG00000188394
GPR22			2845	ENSG00000172209
GPR25			2848	ENSG00000170128
GPR26			2849	ENSG00000154478
GPR27		SREB1	2850	ENSG00000170837
GPR28~withdrawn				
GPR31		HETER1, 12-HETER	2853	ENSG00000120436
GPR32		RVDR1	2854	ENSG00000142511
GPR32P1	GPR32P		2855	ENSG00000269565
GPR33			2856	ENSG00000214943
GPR34			2857	ENSG00000171659
GPR34P~withdrawn				
GPR35			2859	ENSG00000178623
GPR36			2860	
GPR37		EDNRBL, hET(B)R-LP, PAELR	2861	ENSG00000170775
GPR37L1		ETBR-LP-2	9283	ENSG00000170075
GPR39			2863	ENSG00000183840
GPR42	GPR42P	GPR41L, FFAR3L	2866	ENSG00000126251
GPR45		PSP24, PSP24A	11250	ENSG00000135973
GPR50		H9, Mel1c	9248	ENSG00000102195
GPR50-AS1			100128688	ENSG00000234696
GPR52			9293	ENSG00000203737
GPR53P		PsiGPR53, dJ271M21.8	9292	ENSG00000229281
GPR55			9290	ENSG00000135898
GPR61		BALGR	83873	ENSG00000156097
GPR62			118442	ENSG00000180929
GPR63		PSP24(beta), PSP24B	81491	ENSG00000112218
GPR65		hTDAG8, TDAG8	8477	ENSG00000140030
GPR67~withdrawn				
GPR68		OGR1	8111	ENSG00000119714
GPR69A~withdrawn				
GPR69B~withdrawn				
GPR70~withdrawn				
GPR71~withdrawn				
GPR72~withdrawn				
GPR75		WI-31133	10936	ENSG00000119737
GPR75-ASB3			100302652	ENSG00000270898
GPR78			27201	ENSG00000155269
GPR79		GPR79P	27200	ENSG00000232374
GPR82			27197	ENSG00000171657
GPR83	GPR72		10888	ENSG00000123901
GPR84		EX33	53831	ENSG00000139572
GPR85		SREB2	54329	ENSG00000164604
GPR87	GPR95		53836	ENSG00000138271
GPR88			54112	ENSG00000181656
GPR89A		UNQ192	653519	ENSG00000117262
GPR89B	GPR89, GPR89C	SH120	51463	ENSG00000188092
GPR89C~withdrawn				
GPR89P		C11H1.2-Lp	394254	ENSG00000216915
GPR90~withdrawn				
GPR93~withdrawn				
GPR94~withdrawn				
GPR95~withdrawn				
GPR99~withdrawn				
GPR101			83550	ENSG00000165370
GPR104~withdrawn				
GPR107		KIAA1624, RP11-88G17, FLJ20998, LUSTR1	57720	ENSG00000148358
GPR108		LUSTR2	56927	ENSG00000125734
GPR119		hGPCR2, GPCR2	139760	ENSG00000147262
GPR129~withdrawn				
GPR130~withdrawn				
GPR132		G2A	29933	ENSG00000183484
GPR134~withdrawn				
GPR135		HUMNPIIY20, PAFR	64582	ENSG00000181619
GPR137		C11orf4, GPR137A, TM7SF1L1	56834	ENSG00000173264
GPR137B	TM7SF1		7107	ENSG00000077585
GPR137C		DKFZp762F0713, TM7SF1L2	283554	
GPR139		PGR3	124274	ENSG00000180269
GPR140~withdrawn				
GPR141		PGR13	353345	ENSG00000187037
GPR141BP			100420413	ENSG00000283444
GPR142		PGR2	350383	ENSG00000257008
GPR143	OA1		4935	ENSG00000101850
GPR143P	OA1P		352896	ENSG00000232583
GPR146		PGR8	115330	ENSG00000164849
GPR148		PGR6	344561	ENSG00000173302
GPR149		PGR10, IEDA, R35	344758	ENSG00000174948
GPR150		PGR11	285601	ENSG00000178015
GPR151		PGR7, GALR4	134391	ENSG00000173250
GPR152		PGR5	390212	ENSG00000175514
GPR153		PGR1	387509	ENSG00000158292
GPR155		DEPDC3, DEP.7, FLJ31819, PGR22	151556	ENSG00000163328
GPR156		PGR28, GABABL	165829	ENSG00000175697
GPR157		FLJ12132	80045	ENSG00000180758
GPR158		KIAA1136	57512	ENSG00000151025
GPR158-AS1			100128811	ENSG00000233642
GPR160		GPCR150, GPCR1	26996	ENSG00000173890
GPR161		RE2	23432	ENSG00000143147
GPR162		A-2, GRCA	27239	
GPR165P		PGR15, 6530406P05Rik	392486	
GPR166P		PGR9	442206	
GPR171		H963	29909	ENSG00000174946
GPR173		SREB3	54328	ENSG00000184194
GPR174		FKSG79	84636	ENSG00000147138
GPR176		Gm1012	11245	ENSG00000166073
GPR176-DT			100505534	ENSG00000246863
GPR179	GPR158L1	CSNB1E	440435	ENSG00000277399
GPR180		ITR	160897	ENSG00000152749
GPR182	ADMR	hrhAMR, G10D, AM-R	11318	
GPR183	EBI2		1880	ENSG00000169508
GPRACR		LncGPR107	401554	ENSG00000196979
GPRASP1		GASP, GASP1	9737	ENSG00000198932
GPRASP2		GASP2, FLJ37327	114928	ENSG00000158301
GPRC5A	RAI3	RAIG1, TIG1, PEIG-1	9052	ENSG00000013588
GPRC5B		RAIG-2	51704	ENSG00000167191
GPRC5C		RAIG-3	55890	ENSG00000170412
GPRC5D			55507	ENSG00000111291
GPRC5D-AS1		RP11-392P7.6		ENSG00000247498
GPRC6A		bA86F4.3	222545	ENSG00000173612
GPRIN1		GRIN1, KIAA1893	114787	ENSG00000169258
GPRIN2	KIAA0514	MGC15171	9721	ENSG00000204175
GPRIN3		GRIN3, FLJ42625	285513	ENSG00000185477
GPRK6L~withdrawn				
GPRK7~withdrawn				
GPS1		COPS1, CSN1	2873	
GPS2			2874	ENSG00000132522
GPS2P1			392281	ENSG00000236496
GPS2P2			100132058	ENSG00000230951
GPSM1		AGS3, DKFZP727I051	26086	ENSG00000160360
GPSM2	DFNB82	LGN, Pins	29899	ENSG00000121957
GPSM3	C6orf9	NG1, G18, G18.1a, G18.1b, G18.2, AGS4	63940	ENSG00000213654
GPT		ALT1, GPT1	2875	ENSG00000167701
GPT2		ALT2	84706	ENSG00000166123
GPX1			2876	ENSG00000233276
GPX1P1	GPXL2, GPXP1		441481	ENSG00000197582
GPX1P2	GPXL1, GPXP2	GPXL2, GPXP2P	2884	ENSG00000215326
GPX2		GSHPX-GI	2877	ENSG00000176153
GPX3			2878	ENSG00000211445
GPX4		PHGPx, MCSP	2879	
GPX5			2880	ENSG00000224586
GPX6	GPXP3		257202	ENSG00000198704
GPX7		FLJ14777, GPX6, NPGPx	2882	ENSG00000116157
GPX8		UNQ847, EPLA847	493869	ENSG00000164294
GPXP3~withdrawn				
GRAMD1A	KIAA1533	FLJ90346	57655	ENSG00000089351
GRAMD1B	LINC01059	KIAA1201	57476	ENSG00000023171
GRAMD1C		DKFZp434C0328	54762	ENSG00000178075
GRAMD2A	GRAMD2		196996	ENSG00000175318
GRAMD2B	GRAMD3	NS3TP2, FLJ21313	65983	ENSG00000155324
GRAMD4		KIAA0767, DIP	23151	ENSG00000075240
GRAMD4P1			100631252	ENSG00000227874
GRAMD4P2			100873881	ENSG00000235992
GRAMD4P3			100631248	ENSG00000278301
GRAMD4P4				ENSG00000274369
GRAMD4P5			100631249	ENSG00000259089
GRAMD4P6			100631250	ENSG00000258848
GRAMD4P7			100631251	ENSG00000266242
GRAMD4P8			100631247	ENSG00000270930
GRAP			10750	ENSG00000154016
GRAP2		Grf40, GrbX, GRBLG, GADS, Mona	9402	ENSG00000100351
GRAPL			400581	ENSG00000189152
GRASP		Tamalin	160622	ENSG00000161835
GRASP-AS1	GRASPOS		692159	
GRB2		NCKAP2	2885	ENSG00000177885
GRB7			2886	ENSG00000141738
GRB10			2887	ENSG00000106070
GRB14			2888	ENSG00000115290
GREB1		KIAA0575	9687	ENSG00000196208
GREB1L	KIAA1772	FLJ13687, C18orf6	80000	ENSG00000141449
GREM1	CKTSF1B1, CRAC1	DRM, gremlin, DAND2, HMPS	26585	ENSG00000166923
GREM2		Prdc, FLJ21195, CKTSF1B2, DAND3	64388	ENSG00000180875
GRH~withdrawn				
GRHL1	TFCP2L2	LBP-32, MGR	29841	ENSG00000134317
GRHL2	DFNA28, TFCP2L3	FLJ13782, BOM	79977	ENSG00000083307
GRHL3	TFCP2L4	SOM	57822	ENSG00000158055
GRHPR	GLXR	PH2	9380	ENSG00000137106
GRIA1	GLUR1	GluA1, GLURA	2890	ENSG00000155511
GRIA2	GLUR2	GluA2, GLURB	2891	ENSG00000120251
GRIA3	GLUR3	GluA3, GLURC, MRX94	2892	ENSG00000125675
GRIA4	GLUR4	GluA4, GLURD	2893	ENSG00000152578
GRID1		GluD1, KIAA1220	2894	ENSG00000182771
GRID1-AS1			100507470	
GRID2		GluD2, GluR-delta-2	2895	ENSG00000152208
GRID2IP			392862	ENSG00000215045
GRIFIN			402635	ENSG00000275572
GRIK~withdrawn				
GRIK1	GLUR5	GluK1	2897	ENSG00000171189
GRIK1-AS1	C21orf9, NCRNA00110, GRIK1AS, GRIK1-AS		642976	ENSG00000174680
GRIK1-AS2	C21orf41, NCRNA00258		100379661	
GRIK2	GLUR6	GluK2, MRT6	2898	ENSG00000164418
GRIK3		GluK3, GLUR7	2899	ENSG00000163873
GRIK4	GRIK	GluK4, KA1	2900	ENSG00000149403
GRIK5	GRIK2	GluK5, KA2	2901	ENSG00000105737
GRIN1	NMDAR1	GluN1	2902	ENSG00000176884
GRIN2A	NMDAR2A	GluN2A	2903	ENSG00000183454
GRIN2B	NMDAR2B	GluN2B	2904	ENSG00000273079
GRIN2C	NMDAR2C	GluN2C	2905	ENSG00000161509
GRIN2D	NMDAR2D	GluN2D, EB11, NR2D	2906	ENSG00000105464
GRIN3A		GluN3A	116443	ENSG00000198785
GRIN3B		GluN3B	116444	ENSG00000116032
GRINA	NMDARA1	HNRGW, TMBIM3, LFG1	2907	ENSG00000178719
GRIP1			23426	ENSG00000155974
GRIP2		KIAA1719	80852	ENSG00000144596
GRIPAP1		GRASP-1, GRASP1, KIAA1167, MPMGp800B12492Q3, DKFZp434P0630	56850	ENSG00000068400
GRK1	RHOK	GPRK1, RK	6011	ENSG00000185974
GRK2	ADRBK1	BARK1	156	ENSG00000173020
GRK3	ADRBK2	BARK2	157	ENSG00000100077
GRK4	GPRK2L	GPRK4	2868	ENSG00000125388
GRK5	GPRK5		2869	ENSG00000198873
GRK5-IT1			101927868	ENSG00000228485
GRK6	GPRK6		2870	ENSG00000198055
GRK6P1	GPRK6L, GPRK6P, GRK6PS		2871	ENSG00000215571
GRK7	GPRK7		131890	ENSG00000114124
GRL~withdrawn				
GRM1		GPRC1A, mGlu1, MGLUR1, PPP1R85	2911	ENSG00000152822
GRM2		GPRC1B, mGlu2, MGLUR2	2912	ENSG00000164082
GRM3		GPRC1C, mGlu3, MGLUR3	2913	ENSG00000198822
GRM4		GPRC1D, mGlu4, MGLUR4	2914	ENSG00000124493
GRM5		MGLUR5, GPRC1E, mGlu5, PPP1R86	2915	ENSG00000168959
GRM5-AS1	100873989	ENSG00000255082
GRM6		GPRC1F, mGlu6, MGLUR6, CSNB1B	2916	ENSG00000113262
GRM7		GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87	2917	ENSG00000196277
GRM7-AS1				ENSG00000236202
GRM7-AS2				ENSG00000237665
GRM7-AS3			101927347	ENSG00000226258
GRM8		GLUR8, GPRC1H, mGlu8, MGLUR8	2918	ENSG00000179603
GRN		PCDGF, PGRN, CLN11	2896	ENSG00000030582
GRP			2922	ENSG00000134443
GRP78~withdrawn				
GRPEL1		FLJ25609, GrpE, hMGE	80273	ENSG00000109519
GRPEL2		DKFZp451C205, Mt-GrpE#2, FLJ23713	134266	ENSG00000164284
GRPEL2-AS1		RP11-394O4.4		ENSG00000253618
GRPEL2P1				ENSG00000233211
GRPEL2P2			100129994	ENSG00000225814
GRPEL2P3			100129871	ENSG00000230682
GRPR		BB2, BB2R	2925	ENSG00000126010
GRSF1			2926	ENSG00000132463
GRTP1		FLJ22474, TBC1D6	79774	ENSG00000139835
GRTP1-AS1				ENSG00000225083
GRWD1		WDR28, GRWD, RRB1	83743	ENSG00000105447
GRXCR1	DFNB25	PPP1R88	389207	ENSG00000215203
GRXCR2		DFNB101	643226	ENSG00000204928
G0S2			50486	ENSG00000123689
GSAP	PION	LOC54103	54103	ENSG00000186088
GSAS~withdrawn				
GSC			145258	ENSG00000133937
GSC-DT		DIGIT		
GSC2	GSCL		2928	ENSG00000063515
GSDMA	GSDM, GSDM1	FLJ39120	284110	ENSG00000167914
GSDMB	GSDML	PRO2521	55876	ENSG00000073605
GSDMC	MLZE		56169	ENSG00000147697
GSDMD	GSDMDC1	FLJ12150, DF5L	79792	ENSG00000104518
GSDME	DFNA5	ICERE-1	1687	ENSG00000105928
GSE1	KIAA0182		23199	ENSG00000131149
GSEC	ST3GAL4-AS1	DCPS-AS1, FLJ39051	399972	ENSG00000280832
GSG1		MGC3146	83445	ENSG00000111305
GSG1L		MGC18079, PRO19651, KTSR5831	146395	ENSG00000169181
GSG1L2			644070	ENSG00000214978
GSK1~withdrawn				
GSK2~withdrawn				
GSK3A			2931	ENSG00000105723
GSK3B			2932	ENSG00000082701
GSKIP	C14orf129		51527	ENSG00000100744
GSL~withdrawn				
GSM1				
GSN		DKFZp313L0718	2934	ENSG00000148180
GSN-AS1	C9orf31	MOST2	57000	ENSG00000235865
GSPT1		GST1, ETF3A, eRF3a	2935	ENSG00000103342
GSPT2		eRF3b, FLJ10441	23708	ENSG00000189369
GSR			2936	ENSG00000104687
GSS			2937	ENSG00000100983
GST12~withdrawn				
GSTA1			2938	ENSG00000243955
GSTA2	GST2		2939	ENSG00000244067
GSTA3			2940	ENSG00000174156
GSTA4			2941	ENSG00000170899
GSTA5			221357	ENSG00000182793
GSTA6P	GSTAP1		2942	ENSG00000223622
GSTA7P	GSTAP2	GSTAP6	730152	ENSG00000237674
GSTA8P		GSTAP7	100420627	ENSG00000220377
GSTA9P		GSTAP4, GSTA4P	100174857	ENSG00000243236
GSTA10P		GSTAP2	647177	ENSG00000230845
GSTA11P		GSTAP3	647175	ENSG00000230375
GSTA12P		GSTAP5	647169	ENSG00000217228
GSTCD		FLJ13273	79807	ENSG00000138780
