Gene Name,Gene ID
prpf4,9128
prpf3,9129
khdrbs1,10657
khdrbs3,10656
mtx2,10651
prelid3a,10650
spint2,10653
ykt6,10652
ddx39b,7919
gpank1,7918
100131530,100131530
dek,7913
441172,441172
bag6,7917
prrc2a,7916
aldh5a1,7915
nup43,348995
ccdc13,152206
tuba4b,80086
7359,7359
snhg20,654434
pax8-as1,654433
hoxd13,3239
100134498,100134498
ctbp2p2,100130970
ppp1r2p6,100130972
lmx1b,4010
b4galt5,9334
slc25a5-as1,100303728
lor,4014
tmem9,252839
psmd10p1,170541
or6c3,254786
100130800,100130800
100130801,100130801
slc36a3,285641
kif4b,285643
ect2l,345930
mis18a,54069
c21orf62-as1,54067
linc00160,54064
647077,647077
644669,644669
390029,390029
fndc7,163479
401859,401859
cnr2,1269
cnr1,1268
foxl2,668
plk3,1263
cnga4,1262
bnip3l,665
cnga2,1260
cnp,1267
cnn3,1266
cnn2,1265
cnn1,1264
fbp2,8789
dlk1,8788
nt5c,30833
psphp1,8781
or7e156p,283491
rgs9,8787
rgs11,8786
rilpl2,196383
tnfrsf18,8784
capn8,388743
efcab10,100130771
spred1,161742
pm20d1,148811
hsd17b7p1,148818
100128108,100128108
nr0b2,8431
klf6,1316
utf1,8433
copa,1314
soat2,8435
reck,8434
gsdma,284110
cavin2,8436
nsmaf,8439
rad54l,8438
il17ra,23765
maff,23764
283728,283728
osbp2,23762
pisd,23761
cavin1,284119
spata2,9825
arhgap11a,9824
rgp1,9827
arhgef11,9826
rb1cc1,9821
cul7,9820
armcx2,9823
b9d1,27077
lypd3,27076
tspan13,27075
lamp3,27074
dnajc6,9829
arhgef17,9828
dapp1,27071
mtss2,92154
tmem217,221468
entpd1-as1,728558
dedd2,162989
728554,728554
gcsam,257144
gtf2h2c_2,730394
septin10,151011
wdr34,89891
kbtbd6,89890
ccdc162p,221262
znf829,374899
naxd,55739
arfgap1,55738
dnajc11,55735
zfp64,55734
vps35,55737
linc01785,374890
sbsn,374897
hhat,55733
c1orf112,55732
linc00841,283033
hist1h2ai,8329
gfi1b,8328
ankub1,389161
cphl1p,389160
fzd8,8325
fzd7,8324
tincr,257000
eomes,8320
fzd6,8323
fzd4,8322
tmcc2,9911
rabgap1l,9910
supt7l,9913
arhgap44,9912
arnt2,9915
atp2c2,9914
fam20b,9917
sec16a,9919
ncapd2,9918
ncbp3,55421
sirpg,55423
znf331,55422
gpalpp1,55425
rpusd2,27079
hsp90ab6p,541611
golga6b,55889
zkscan7,55888
cers6,253782
lmo3,55885
wsb2,55884
cygb,114757
cspg4p1y,114758
mars2,92935
znf599,148103
prr26,414235
c10orf55,414236
fam187b,148109
gbgt1,26301
ccdc117,150275
rest,5978
glrx5,51218
51217,51217
igf2-as,51214
rela,5970
luzp4,51213
pnldc1,154197
impa1,3612
impa2,3613
impdh1,3614
impdh2,3615
impg1,3617
xrcc6p2,389901
incenp,3619
csag3,389903
elac2,60528
alx4,60529
389906,389906
pard3,56288
ccdc12,151903
tcf12,6938
ermap,114625
ank3,288
150051,150051
rassf5,83593
znf530,348327
apobec3f,200316
pcdh11x,27328
cdh24,64403
389834,389834
galk2,2585
galk1,2584
rgs18,64407
gale,2582
cdh22,64405
gak,2580
galnt17,64409
galnt1,2589
galns,2588
nudt12,83594
krtap10-12,386685
krtap12-4,386684
krtap12-3,386683
krtap10-3,386682
krtap10-8,386681
krtap10-5,386680
kiaa1210,57481
plekhg1,57480
kiaa1211,57482
myo3a,53904
rnf150,57484
nln,57486
odf2l,57489
esyt2,57488
mir3945hg,731424
bin2p1,345258
neurl2,140825
gjc3,349149
gcdh,2639
gc,2638
gbp3,2635
gbp2,2634
gbx2,2637
gbx1,2636
nipsnap2,2631
gbap1,2630
gbp1,2633
gbe1,2632
tmem30cp,644444
cytip,9595
smad5-as1,9597
akap12,9590
ier2,9592
sumo4,387082
ankrd65,441869
pigg,54872
timm23,100287932
rpl23ap23,100271292
vwa3a,146177
rpl23ap22,100271291
tarm1,441864
stra8,346673
znf257,113835
648149,648149
ccdc18,343099
zfp90,146198
aip,9049
artn,9048
spag9,9043
100294720,100294720
ube2m,9040
sh2d2a,9047
dok2,9046
rpl14,9045
btaf1,9044
100287808,100287808
nup210p1,255330
100287807,100287807
100287806,100287806
341378,341378
higd1c,613227
387793,387793
387790,387790
gtf2h1,2965
snora68,26780
gtf2h2,2966
gtf2e2,2961
gtf2e1,2960
gtf2f1,2962
iqcj-schip1,100505385
znf658b,401509
hephl1,341208
wdr26,80232
sap18p2,442060
znf689,115509
mocs2,4338
faap100,80233
mobp,4336
mocs1,4337
mnt,4335
mnda,4332
rufy1,80230
mn1,4330
mnat1,4331
hla-g,3135
hla-f,3134
hla-j,3137
hla-h,3136
hlf,3131
hla-e,3133
hla-drb9,3132
hla-l,3139
rnu7-3p,100147746
or51g1,79324
197003,197003
krt27,342574
pigz,80235
mrpl15p1,359736
gtpbp4,23560
zc3h11b,643136
cpsf4l,642843
mef2c,4208
mef2d,4209
642846,642846
me2,4200
mea1,4201
c19orf84,147646
borcs8-mef2b,4207
mecp2,4204
vsig10l,147645
myrfl,196446
100288917,100288917
100288910,100288910
374467,374467
zfc3h1,196441
plxna4,91584
rps19bp1,91582
ttll1,25809
pyy3,644059
644058,644058
lsm4,25804
bambi,25805
vax2,25806
rhbdd3,25807
slc39a6,25800
gca,25801
644051,644051
spdef,25803
cyp51a1-as1,613126
tmem182,130827
klf14,136259
tut4,23318
dmxl2,23312
kiaa0930,23313
ncapd3,23310
cux2,23316
smkr1,100287482
rps4y2,140032
slc9a8,23315
eif3ep3,100462836
vps41,27072
642265,642265
tmem178a,130733
285949,285949
cdrt1,374286
smarcc2,6601
smarcd1,6602
smarcd2,6603
441089,441089
smarce1,6605
smn1,6606
smn2,6607
smo,6608
smpd1,6609
ppp4r3c,139420
441081,441081
dcaf8l1,139425
sirt4,23409
micalcl,84953
aqp12b,653437
dpp10-as1,389023
terb2,145645
il20,50604
ervfrd-1,405754
smim11a,54065
duoxa2,405753
ctcfl,140690
trim69,140691
cox7bp2,140692
rpl37p1,140696
mroh8,140699
cant1,124583
645877,645877
fam90a12p,645879
440683,440683
rpa2,6118
rpa3,6119
hist2h3ps2,440686
hist2h2bf,440689
rpa1,6117
spata33,124045
spata2l,124044
tubg1,7283
or10ad1,121275
znf641,121274
atad3c,219293
tuft1,7286
tufm,7284
amer1,139285
tulp2,7288
klhl42,57542
tph2,121278
rps3ap11,100270904
tsnax-disc1,100303453
ltv1p1,100289220
100289222,100289222
401504,401504
tomm5,401505
ncl,4691
extl3,2137
extl1,2134
map6d1,79929
ext2,2132
ndufa1,4694
nucb2,4925
ndufa3,4696
snx29p2,440352
ndufa5,4698
npipb7,440350
nup98,4928
cdiptosp,440356
fam110d,79927
eya1,2138
eya2,2139
sbf2,81846
rnf146,81847
trim56,81844
tbc1d28,254272
spry4,81848
st6galnac5,81849
pdha1,5160
pdha2,5161
pdhb,5162
pdk1,5163
pdk2,5164
pdk3,5165
pdk4,5166
enpp1,5167
enpp2,5168
enpp3,5169
rnase11,122651
znf577,84765
zswim7,125150
muc7,4589
muc6,4588
muc4,4585
muc3a,4584
tom1l2,146691
mrpl55,128308
mtx1,4580
muc2,4583
muc1,4582
84786,84786
kmt5c,84787
scart1,619207
fam229b,619208
84789,84789
fam32cp,645646
100127980,100127980
c8orf88,100127983
100127987,100127987
cntnap3p2,643827
ccdc185,164127
vmac,400673
mir298,100126296
cnga3,1261
vtrna2-1,100126299
slc2a6,11182
map4k5,11183
wdr6,11180
treh,11181
rassf1,11186
hhipl1,84439
map4k1,11184
inmt,11185
adgra1,84435
znf528,84436
msantd4,84437
or11i1p,81479
prok1,84432
card11,84433
or5t3,390154
or5t1,390155
or8k1,390157
or8h2,390151
or8h3,390152
satb1,6304
rpl22p3,729662
c3p1,388503
znf788p,388507
armc10,83787
frmd8,83786
mapk12,6300
alg1l9p,285407
linc00698,285401
100126583,100126583
emb,133418
zrsr2,8233
h19,283120
krt8p7,729131
usp11,8237
100131532,100131532
usp9x,8239
majin,283129
lvrn,206338
zbed6,100381270
or4f3,26683
or4f4,26682
xylb,9942
znf221,7638
znf85,7639
100130757,100130757
znf79,7633
vcx3a,51481
znf80,7634
vcx2,51480
matn4,8785
388210,388210
ptprf,5792
npm1p42,729686
hmgn2p25,729687
729680,729680
729681,729681
729683,729683
tcf7,6932
sarm1,23098
tespa1,9840
gcfc2,6936
slc22a24,283238
zeb1,6935
ttc9c,283237
c9orf43,257169
tcf15,6939
pwar5,8123
ap3b2,8120
trim25,7706
znf148,7707
zbtb16,7704
znf146,7705
znf143,7702
pcgf2,7703
trn-gtt3-1,100189323
znf142,7701
klhl33,123103
zbtb17,7709
ube2k,3093
znf804b,219578
spaca4,171169
645513,645513
rflnb,359845
pomgnt2,84892
erich6,131831
c1orf122,127687
nxnl2,158046
shcbp1l,81626
magea5,4104
snord105,692229
snord104,692227
snord96b,692226
snord94,692225
692224,692224
tre-ttc2-1,100189030
trn-gtt2-4,100189036
rgl4,266747
trim74,378108
100128107,100128107
mtif3,219402
magea2b,266740
gsx1,219409
apoa5,116519
mas1l,116511
mrgprd,116512
100169881,100169881
xpnpep1,7511
100288891,100288891
rbp4,5950
100288893,100288893
mzb1,51237
rcn2,5955
rcn1,5954
far2p3,100288897
opn1lw,5956
rdh5,5959
or2c3,81472
or2g2,81470
rbm22p2,100271871
rbm22p4,100271870
ptprm,5797
ptprk,5796
upf3a,65110
ptprh,5794
ptprg,5793
rsrc2,65117
ptpre,5791
ptprcap,5790
heatr9,256957
ptprn2,5799
ptprn,5798
slc31a1,1317
insm2,84684
spanxd,64648
mfsd14a,64645
fam71b,153745
ebf2,64641
ppp1r2b,153743
tigd6,81789
c19orf25,148223
lcn10,414332
tsks,60385
81787,81787
100132625,100132625
atp8b3,148229
1313,1313
comt,1312
comp,1311
flrt2,23768
flrt3,23767
samd15,161394
gabarapl3,23766
ppp1r14a,94274
100132999,100132999
hhip,64399
mpp5,64398
zmat3,64393
cetn4p,729338
rps21p3,100132993
znf106,64397
gmcl2,64396
gmcl1,64395
ccdc126,90693
or2a13p,392140
slc31a2,1318
slc39a11,201266
cd36,948
scarb1,949
siglec6,946
cd34,947
tnfsf8,944
cd33,945
cd86,942
tnfrsf8,943
cd28,940
cd80,941
linc00612,253128
padi4,23569
col18a1,80781
zmym5,9205
zmym6,9204
dclk1,9201
hacd1,9200
zmym3,9203
zmym4,9202
znf766,90321
rwdd2b,10069
lrrfip2,9209
lrrfip1,9208
thap3,90326
vn2r17p,649186
uqcrfs1,7386
or1m1,125963
or7g1,125962
283911,283911
elp6,54859
pgpep1,54858
gdpd2,54857
gon4l,54856
tent5c,54855
fam83e,54854
wdr55,54853
paqr5,54852
ankrd49,54851
fbxl12,54850
dnm1p19,387554
npat,4863
100134663,100134663
dnm1p18,387553
lilrb2,10288
eif1b,10289
bcas2,10286
rgs19,10287
sap18,10284
smndc1,10285
bet1,10282
cwc27,10283
sigmar1,10280
dscr4,10281
slc45a2,51151
acaa2,10449
zer1,10444
mcrs1,10445
lrrn2,10446
fam3c,10447
timm17a,10440
n4bp2l2,10443
cpeb3,22849
dydc2,84332
100133481,100133481
syt10,341359
ldhal6a,160287
tmem161a,54929
impad1,54928
slc15a1,6564
lime1,54923
rasip1,54922
chtf8,54921
dus2,54920
p4ha2,8974
ube2r2,54926
wasl,8976
grin2a,2903
grin1,2902
grik5,2901
grik4,2900
grina,2907
grin2d,2906
grin2c,2905
grin2b,2904
arhgap35,2909
nr3c1,2908
tmem192,201931
ropn1b,152015
kcnk16,83795
732265,732265
linc00599,157627
mir1296,100302150
or2t1,26696
mir1256,100302155
or2w1,26692
or2v1,26693
199882,199882
c21orf91,54149
mrpl39,54148
ak9,221264
iglv3-19,28797
iglv3-21,28796
linc00308,54143
prlhr,2834
h2bfs,54145
npbwr2,2832
npbwr1,2831
gpr6,2830
zmat4,79698
zyg11b,79699
muc20p1,651714
csf1,1435
mapk14,1432
cs,1431
gal3st4,79690
qtrt2,79691
znf322,79692
yrdc,79693
manea,79694
galnt12,79695
ythdc1,91746
riox1,79697
linc01546,100129464
dpy19l1p1,100129460
lyrm4-as1,100129461
aspscr1,79058
100129463,100129463
prrg4,79056
prrg3,79057
trpm8,79054
ttll8,164714
alg8,79053
noc4l,79050
tspan12,23554
tspan15,23555
pign,23556
snapin,23557
psd4,23550
rasd2,23551
cdk20,23552
hyal4,23553
st20-as1,283687
wbp2,23558
wbp1,23559
zcchc17,51538
mtfp1,51537
pphln1,51535
vta1,51534
phf7,51533
trmo,51531
zc3hc1,51530
coro7,79585
chpf,79586
cars2,79587
slc52a2,79581
spag16,79582
tmem231,79583
znf165,7718
rnf128,79589
wwtr1-as1,100128025
100128028,100128028
rpl23p8,222901
kctd18,130535
fam222b,55731
akr7a2,8574
prkra,8575
stk16,8576
tmeff1,8577
khsrp,8570
pdlim4,8572
cask,8573
lingo1-as1,253044
scarf1,8578
mcm10,55388
55389,55389
hemk1,51409
dnajc5b,85479
eps15p1,55380
51402,51402
ppme1,51400
meg3,55384
nol7,51406
55387,55387
doc2b,8447
armh4,145407
cdhr1,92211
thap1,55145
trpv2,51393
aig1,51390
commd10,51397
trappc4,51399
wdr83os,51398
730631,730631
plpp4,196051
commd7,149951
bpifb4,149954
igfl1,374918
cnep1r1,255919
or8b2,26595
196296,196296
chst7,56548
mmp26,56547
fzd1,8321
rpl23ap14,341511
telo2,9894
tecpr2,9895
fig4,9896
ints5,80789
plppr4,9890
nuak1,9891
snap91,9892
phactr1,221692
ubap2l,9898
sv2b,9899
znf649,65251
cplane1,65250
mppe1,65258
slc9b1,150159
nsfl1c,55968
rab5if,55969
septin3,55964
ajap1,55966
ndufa12,55967
tex9,374618
snora38,677820
jag2,3714
jak2,3717
jak1,3716
snora17b,677824
itpr3,3710
ivl,3713
ivd,3712
srgap1,57522
nynrin,57523
hecw2,57520
clec18a,348174
pcdh19,57526
jak3,3718
caskin1,57524
cybrd1,79901
nup85,79902
naa60,79903
79904,79904
tmc7,79905
morn1,79906
btnl8,79908
scamp3,10067
ntf4,4909
ntf3,4908
nrl,4901
nrgn,4900
nrtn,4902
nsf,4905
ybx1,4904
nt5e,4907
ccdc146,57639
arhgap23,57636
ep400,57634
26172,26172
tmem251,26175
lrrn1,57633
sh3rf1,57630
lrch2,57631
npsr1,387129
srr,63826
bcan,63827
id4,3400
znf565,147929
znf420,147923
polh,5429
igfl2,147920
fxyd5,53827
fxyd6,53826
mtfr2,113115
fxyd7,53822
prr35,146325
ttc36,143941
thsd4,79875
uba5,79876
dcakd,79877
baalc,79870
nacc2,138151
p2ry13,53829
fxyd4,53828
ercc2,2068
ereg,2069
lrit2,340745
clcnka,1187
eps15,2060
nr2f6,2063
erbb2,2064
erbb3,2065
erbb4,2066
ercc1,2067
linc00533,387055
tp73,7161
podxl,5420
plekhg7,440107
tmem198b,440104
clcn1,1180
440101,440101
clcn2,1181
ct45a11p,100129813
ep400p1,347918
casc4,113201
sult2b1,6820
suox,6821
sult2a1,6822
supt4h1,6827
100131735,100131735
supt5h,6829
100131736,100131736
usp30-as1,100131733
pa2g4p4,647033
rnf222,643904
prr21,643905
cox6b2,125965
pcdh11y,83259
ddtl,100037417
rpl7p12,100131085
dnm1p17,100131084
srp14-as1,100131089
linc01192,647107
rnase10,338879
fam92a,137392
rps12p23,338870
c1qtnf9,338872
100130654,100130654
linc00520,645687
157273,157273
rpl13ap3,645683
pou5f1p4,645682
rpl12p38,645688
157278,157278
croccp2,84809
brinp3,339479
perm1,84808
100129105,100129105
100129104,100129104
ervmer61-1,339476
646044,646044
100129101,100129101
284939,284939
st8sia1,6489
653882,653882
st3gal1,6482
st3gal2,6483
646347,646347
284933,284933
653888,653888
st3gal3,6487
st3gal4,6484
or2h4p,442189
pfn4,375189
or2j1,442185
or2b3,442184
or2j3,442186
100129033,100129033
399990,399990
gpat3,84803
100129034,100129034
100128348,100128348
linc01141,339505
znf678,339500
prss38,339501
100128343,100128343
fam43a,131583
100128345,100128345
smarce1p2,442233
rpl17p25,442232
ost4,100128731
krt18p50,442236
gcom1,145781
opn1mw2,728458
hnrnpd,3184
hnrnpf,3185
hnrnph1,3187
hnrnpa2b1,3181
hnrnpab,3182
angptl1,9068
hnrnph2,3188
hnrnph3,3189
wash5p,375690
c14orf180,400258
100421648,100421648
646762,646762
rpl35p2,646766
ppp1r3d,5509
lpa,4018
vwa5a,4013
lnpep,4012
scx,642658
dpy19l2p4,442523
loxl1,4016
lox,4015
wwox,51741
rnf11p2,170543
ptmap6,170542
sidt2,51092
tdp1,55775
utp18,51096
sccpdh,51097
ift52,51098
abhd5,51099
170549,170549
sf3a3p1,170548
ilk,3611
ahcyp2,392387
641522,641522
441768,441768
286083,286083
286087,286087
652637,652637
cdc42se2,56990
amyp1,281
amy2b,280
ang,283
angpt2,285
angpt1,284
ank2,287
ank1,286
csf3r,1441
csf3,1440
bcorp1,286554
ncam1-as1,100288346
348035,348035
grk1,6011
rho,6010
rln1,6013
cxorf21,80231
ring1,6015
rit2,6014
rlbp1,6017
rit1,6016
rln2,6019
rlf,6018
pacrg,135138
ranbp9,10048
dnajb6,10049
100134040,100134040
100134041,100134041
tom1l1,10040
hmgxb4,10042
tom1,10043
sh2d3c,10044
sh2d3a,10045
mamld1,10046
cst8,10047
or51c1p,401661
or51h1,401663
or51t1,401665
rpl9p12,100270825
or51a4,401666
rpl37p9,100270828
aebp2,121536
col18a1-as1,378832
mrrfp1,286423
cfap299,255119
pnck,139728
norad,647979
sc5d,6309
poc5,134359
sbf1,6305
txlna,200081
msmo1,6307
sars,6301
lsm11,134353
sat1,6303
tspan31,6302
bcap31,10134
nampt,10135
cela3a,10136
rbm12,10137
pdia6,10130
trap1,10131
optn,10133
yaf2,10138
arfrp1,10139
mblac2,153364
pbx2,5089
deft1p,170949
pax9,5083
vsig8,391123
pax7,5081
pax6,5080
pbx1,5087
rpl27ap2,391124
fem1ap2,390834
653071,653071
golga8j,653073
tac4,255061
linc00552,100130386
higd1ap12,100130383
ntan1,123803
eef1e1p1,100130388
plcb3,5331
plcb2,5330
plcd1,5333
plcb4,5332
plcg1,5335
plcl1,5334
pld1,5337
plcg2,5336
plec,5339
pld2,5338
dcc,1630
or2t35,403244
eci1,1632
dck,1633
dcn,1634
dctd,1635
ace,1636
400539,400539
dct,1638
400537,400537
znf429,353088
ttll9,164395
chchd5,84269
rpain,84268
c16orf78,123970
fbxw9,84261
tchp,84260
hsdl2,84263
psmg3,84262
polr3gl,84265
haghl,84264
c9orf64,84267
alkbh7,84266
rps28p6,728453
linc00687,728450
dmgdh,29958
nrbp1,29959
cers2,29956
slc25a24,29957
pomt2,29954
dpp7,29952
trhde,29953
sertad1,29950
pdzrn4,29951
amer3,205147
100133811,100133811
pnpt1,87178
polg,5428
clcnkb,1188
pold2,5425
pold1,5424
pole2,5427
pole,5426
clcn3,1182
arpc3p1,87171
polb,5423
pola1,5422
adhfe1,137872
parp9,83666
sesn2,83667
tln2,83660
ms4a8,83661
xirp2,129446
efhc1,114327
729070,729070
serpina13p,388007
rpsap21,729079
100131472,100131472
100131471,100131471
389831,389831
npm1p33,100131478
100131479,100131479
asf1a,25842
rps17p7,100271069
linc00927,283688
283683,283683
linc01579,283682
rps14p2,100271064
golga6l2,283685
rpl31p60,100271486
spag17,200162
psca,8000
glra3,8001
atg4b,23192
hoxd3,3232
impg2,50939
nelfa,7469
nsd2,7468
rny4p9,100379300
rpl7ap44,100271398
rpl7ap71,100271399
rpl39p24,100271396
lat2,7462
clip2,7461
wfs1,7466
wee1,7465
cdon,50937
gprin1,114787
xkr4,114786
mbd6,114785
csmd2,114784
lmtk3,114783
btbd9,114781
pkd1l2,114780
asap3,55616
slc25a25,114789
csmd3,114788
28994,28994
28997,28997
hipk2,28996
defb105b,504180
znf558,148156
macrod1,28992
klf15,28999
mrpl13,28998
s100a11p1,729659
pipox,51268
clec1a,51267
clec1b,51266
cdkl3,51265
mrpl27,51264
mrpl30,51263
729652,729652
pbdc1,51260
llgl1,3996
linc01829,644838
linc02239,340107
ndufv3,4731
shisal2a,348378
nedd8,4738
fbxo38,81545
pcdhb15,56121
pcdhgb8p,56120
pcdhb13,56123
pcdhb14,56122
pcdhb11,56125
pcdhb12,56124
pcdhb9,56127
pcdhb10,56126
pcdhb7,56129
pcdhb8,56128
389465,389465
dancr,57291
kir2dl5a,57292
100132495,100132495
mnx1-as1,645249
tdrg1,732253
100131482,100131482
znf322p1,387328
tbcb,1155
ccz1b,221960
tmem59,9528
bag5,9529
cish,1154
tecr,9524
vps4b,9525
mpdu1,9526
gosr1,9527
npepps,9520
eef1e1,9521
scamp1,9522
pif1,80119
znf831,128611
pola2,23649
plekha6,22874
enpp4,22875
inpp5f,22876
mlxip,22877
ppp6r1,22870
nlgn1,22871
sec31a,22872
dzip1,22873
trappc8,22878
mon1b,22879
fmo9p,116123
cdrt8,94151
slc30a4,7782
cdrt15p1,94158
sertad4-as1,574036
gh1,2688
gh2,2689
ggt7,2686
ggt5,2687
ggta1p,2681
b4galt1,2683
linc00964,157381
cirbp,1153
tns1,7145
ckb,1152
148638,148638
26856,26856
linc02604,644794
tmprss6,164656
linc00634,339674
c9orf62,157927
camsap1,157922
znf548,147694
nmnat2,23057
zhx3,23051
zswim8,23053
endod1,23052
col3a1,1281
col2a1,1280
mettl7b,196410
c12orf77,196415
col4a6,1288
643072,643072
fhod1,29109
pycard,29108
ssu72,29101
tmem208,29100
dnajc15,29103
drosha,29102
cfap20,29105
n6amt1,29104
nxt1,29107
scg3,29106
100128361,100128361
cenpl,91687
syt12,91683
100129763,100129763
smdt1,91689
ddx11l2,84771
barhl2,343472
ifit3,3437
hsp90b3p,343477
epb41l2,2037
zpld1,131368
or7e47p,26628
tubb,203068
ep300,2033
ppfia2,8499
cnot3,4849
wdr33,55339
linc01949,55338
c2cd4a,145741
acer3,55331
bloc1s4,55330
synj2bp,55333
dram1,55332
nipsnap3b,55335
slc39a9,55334
shfl,55337
fbxl8,55336
plk2,10769
znf664,144348
mcts1,28985
camsap2,23271
ahcyl1,10768
rflna,144347
c1rl,51279
neurog3,50674
or4m1,441670
micu2,221154
ggtlc1,92086
prr23a,729627
dmtn,2039
652147,652147
ahsa2p,130872
100288637,100288637
100289585,100289585
100289580,100289580
rpl7p9,653702
rab28p5,100128416
100128414,100128414
stim1,6786
lncoc1,100288181
rps27p6,100132488
myl12bp2,391722
helt,391723
myh2,4620
myh3,4621
myh4,4622
myh6,4624
myh7,4625
myh8,4626
myh9,4627
myh10,4628
myh11,4629
ctrb2,440387
440386,440386
c9orf131,138724
rpl7ap40,442712
442715,442715
tfb1m,51106
aph1a,51107
atoh7,220202
phf20l1,51105
mecr,51102
ndufaf1,51103
sh3glb1,51100
zc2hc1a,51101
rpl12p11,128467
wt1,7490
mettl9,51108
rdh11,51109
snora41,619569
snora4,619568
snora52,619565
snord72,619564
snord2,619567
snora7a,619563
snora3a,619562
agl,178
ager,177
acan,176
aga,175
afp,174
afm,173
afg3l1p,172
cd70,970
bmp7,655
aplf,200558
91370,91370
fam199x,139231
apobec1,339
tmem120a,83862
ttty5,83863
taf3,83860
rsph3,83861
ttty11,83866
ttty12,83867
ttty9a,83864
ttty13,83868
ttty14,83869
abcc12,94160
apob,338
cblif,2694
or5ak2,390181
100130093,100130093
eef1a1p36,100421820
kif28p,100130097
ifne,338376
dpy19l3,147991
tspy23p,100286964
linc00689,154822
553137,553137
acoxl-as1,400997
400999,400999
linc01783,100132147
zik1,284307
znf547,284306
znf776,284309
399923,399923
tigit,201633
prlr,5618
prm1,5619
652276,652276
thap12,5612
prkx,5613
eif2ak2,5610
dnajc3,5611
prky,5616
prl,5617
rps12p12,100131761
100131316,100131316
psmd9,5715
728485,728485
100131768,100131768
mrvi1,10335
kctd9p2,643535
usp47,55031
100132659,100132659
100132658,100132658
rny4p14,100379584
401220,401220
rab32,10981
klhdc8b,200942
ltb4r2,56413
or10ac1,392133
or2a25,392138
ambn,258
ambp,259
alpp,250
alpg,251
alx3,257
441268,441268
vgll2,245806
ms4a6e,245802
or5g3,81193
slc35g1,159371
s100a1,6271
s100a2,6273
slc37a2,219855
tmem218,219854
s100a4,6275
cep85,64793
or8b12,219858
s100a5,6276
gadd45gip1,90480
znf835,90485
tmem263,90488
il22ra2,116379
nudt16p1,152195
gtsf1l,149699
147004,147004
391448,391448
100131939,100131939
100131938,100131938
plac1,10761
eloa3,162699
nes,10763
nup50,10762
kdm5b,10765
hbs1l,10767
tob2,10766
dock5,80005
esrp2,80004
152286,152286
trappc13,80006
greb1l,80000
pcnx2,80003
vps26b,112936
glb1l3,112937
col24a1,255631
nacc1,112939
terf1p5,283523
or7h1p,390886
246754,246754
or7e18p,390885
or7g2,390882
or7g3,390883
ttty16,252948
ttty17a,252949
100170646,100170646
ube3a,7337
ube2v2,7336
ube2v1,7335
ube2n,7334
ube2l3,7332
ube3ap2,7339
ugt1a10,54575
ugt1a8,54576
ugt1a7,54577
ugt1a6,54578
ugt1a5,54579
elmod2,255520
285178,285178
unc80,285175
285173,285173
fam126b,285172
lhfpl2,10184
vdac1p5,10187
lhfpl6,10186
rbm5,10181
rbm6,10180
ogfrp1,388906
dnaaf4,161582
alyref,10189
tnk2,10188
ankrd33b,651746
285000,285000
gapdhp27,401960
linc01270,284751
ckmt1b,1159
ckm,1158
c20orf197,284756
mir646hg,284757
eif4ebp3,8637
ssna1,8636
rnaset2,8635
rtca,8634
unc5c,8633
dnah17,8632
skap1,8631
tmem272,283521
csnk1a1p1,161635
dnajc25,548645
polr2j3,548644
map3k14-as1,100133991
728392,728392
tspy4,728395
btn2a2,10385
znf491,126069
znf441,126068
btn3a3,10384
trnp1,388610
cd164l2,388611
usp17l27,728393
znf286b,729288
ventxp2,100287345
tubb3,10381
hnrnpa1p33,728643
cdk11a,728642
fabp5p7,728641
fam133cp,728640
ptbp3,9991
slc12a6,9990
dgcr2,9993
kcne2,9992
dgkd,8527
casp8ap2,9994
sco2,9997
fam177a1,283635
gtf2a1l,11036
ston1,11037
dstn,11034
ripk3,11035
adap1,11033
rbpms,11030
rab31,11031
rcsd1,92241
dnlz,728489
151162,151162
11039,11039
ankrd61,100310846
100310847,100310847
vdac1p8,100310840
crkl,1399
crk,1398
crip2,1397
crip1,1396
crhr2,1395
crhr1,1394
crhbp,1393
snrpcp19,100310849
crem,1390
prxl2b,127281
kir3dl1,3811
draxin,374946
sp5,389058
or10d1p,26541
hnrnpkp2,389053
rps21p7,100271366
itgb1bp2,26548
plekha8p1,51054
lap3,51056
wdpcp,51057
cfap53,220136
dennd5b,160518
ska1,220134
gmnn,51053
tatdn1p1,728737
npipb8,728734
znf691,51058
fam135b,51059
map4k3-dt,728730
fam71e2,284418
729513,729513
tmem242,729515
729516,729516
flvcr2,55640
btbd2,55643
osgep,55644
rab20,55647
lyar,55646
ccdc83,220047
ddias,220042
ccdc90b,60492
aasdhppt,60496
acsl4,2182
acsl3,2181
acsl1,2180
fancb,2187
bptf,2186
ptk2b,2185
fah,2184
140768,140768
fancg,2189
fancf,2188
shprh,257218
tnfaip8l1,126282
phf12,57649
kiaa1522,57648
dhx37,57647
usp28,57646
pogk,57645
myh7b,57644
zswim5,57643
cep170b,283638
fam214a,56204
ddo,8528
lmod3,56203
usp32p2,220594
spp2,6694
2439,2439
2438,2438
sh3gl3,6457
2430,2430
2436,2436
cpa5,93979
clec6a,93978
gas7,8522
frg1hp,100132352
actr8,93973
100132356,100132356
atp5if1,93974
linc01512,100132354
hat1,8520
731797,731797
nanos1,340719
dgke,8526
dgkz,8525
pdia4,9601
pitpnm1,9600
nfe2l3,9603
vps9d1,9605
rnf14,9604
cartpt,9607
linc01278,92249
